课程名称,价格,报名人数,课程进度,课程机构
C#从基础快速实战项目【上位机和全栈开发必会】,0.0,13,共24节,喜科堂互联教育
小程序云开发上线你的AI拍照识花小程序,77.22,5,课程2,全栈开发者阿耿
黑客网络安全工程师/区块链/云计算/Linux运维测试/架构师/python,0.0,598,共5节,掌控安全学院
CCNA网络精品课之IPV6+tunnel,0.0,58,共1节,新盟教育
dubbo+SpringCloud,97.22,7,课程2,小D课堂
Mysql读写分离【图灵学院】,0.0,99,共5节,图灵学院
CCNA网络精品课之OSPF,0.0,35,共1节,新盟教育
前端精英班十九期,59622.0,3,课程2,京程一灯
"2小时通晓分布式架构10年来的演变,Java架构师进阶【咕泡学院】",0.0,90,共1节,咕泡教育
墨子学院新纪元seovip课程-专注内页排名和流量提升特训营,262.22,3245,开设3个班级,墨子学院
"Base64原理剖析,Base64面试java高级,Java架构师进阶【咕泡学院】",0.0,19,共1节,咕泡教育
shell教程-2019全新Shell脚本入门教程,0.0,570,共1节,马哥教育
掌控cisp/cissp/pte/国家级认证/kali/黑客信息安全/网络安全渗透,0.0,834,共3节,掌控安全学院
【NEXT学院】人人都会微信小程序实战进阶,577.22,5618,共13节,腾讯课堂NEXT学院
CCNA网络精品课之OSI七层模型,0.0,56,共2节,新盟教育
Zookeeper读写锁实现~关于分布式锁的概念剖析【图灵学院】,0.0,44,共4节,图灵学院
Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】,4362.22,520,随到随学,扣丁学堂
2019马哥最新版高端Linux运维云计算年薪30W经典入门教程,0.0,5584,共15节,马哥教育
CCNA网络精品课之网络是什么？,0.0,54,共22节,新盟教育
移动互联网架构开发（VIP班）【享学课堂】,9762.22,157,进度：15/20节,享学课堂
mysql教程-马哥2019全新Mysql配置和安装实战,0.0,560,共1节,马哥教育
掌控安全/kali/黑客信息安全/网络安全/渗透/linux/编程语言/架构,0.0,355,共2节,掌控安全学院
"并发编程从入门到入魔,Java架构并发编程特训营【咕泡学院】",577.22,155,进度：3/3节,咕泡教育
CCNA网络精品课之VLAN,0.0,88,共1节,新盟教育
